time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098880,406ecc,51.54972839355469,-1.335284258868228,203.86851680105764,287.47477425625567,10.72896,VIR513  ,False,False,False,1421.0,5120.64,5242.56,1626098879.882,1626098879.999,-194.45983200000003,61.21883599999991
1626098880,407836,50.66510009765625,-3.420723362972865,207.857022268799,4.115926658744953,0.0,EZY87MT ,False,False,False,1141.0,11582.4,11826.240000000002,1626098879.998,1626098879.998,14.918876000000022,207.320932
1626098880,406f12,52.694366455078125,-0.42236328125,51.16843226094042,347.221266811594,-0.97536,GLINZ   ,False,False,False,36.0,213.36,228.6,1626098879.74,1626098879.74,-11.317767999999976,49.90106800000001
1626098880,407a20,51.62077331542969,-0.9742943016258324,76.01247397169199,230.4923245571274,5.20192,HLY95   ,False,False,False,7632.0,2446.02,2491.74,1626098879.528,1626098879.999,-58.64661599999999,-48.35773600000001
1626098880,400e4a,51.87309265136719,0.2168315165751689,73.88855856251726,43.02506598911803,-3.2512000000000003,EXS95EU ,False,False,False,5573.0,167.64,190.5,1626098737.56,1626098739.525,50.41551200000001,54.01661999999999
1626098880,4078b8,50.59329792604608,-0.2262589738175506,196.4529551868452,164.50801447199194,2.60096,BAW81   ,False,False,False,2026.0,6469.38,6606.54,1626098879.95,1626098879.999,52.473288000000124,-189.315392
1626098880,4d024c,51.28431934421345,0.2622222900390625,214.68100079161343,320.9327810186336,-9.10336,FYL51F  ,False,False,False,4060.0,9715.5,9829.8,1626098879.599,1626098879.987,-135.29877200000004,166.679856
1626098880,43c925,51.049346923828125,-1.939383841849633,133.76434354212572,241.2664372525616,13.98016,TOPSTAR1,False,False,False,2601.0,2209.8,2270.76,1626098879.585,1626098879.999,-117.29323199999996,-64.3055000000001
1626098880,a95881,53.47520731263241,-1.3044649011948763,251.99618072113225,108.69386924024694,0.0,CKS203  ,False,False,False,6250.0,12496.8,12786.36,1626098879.444,1626098879.991,238.70201600000004,-80.76770799999998
1626098880,407933,50.44028072033898,-4.849276156038854,64.06635330085695,281.5806191822281,-0.65024,HLE01   ,False,False,False,,297.18,358.14,1626098879.74,1626098879.863,-62.762168,12.86109999999998
1626098880,407b02,53.82334899902344,-3.43487548828125,60.24049178677771,277.85331330197823,0.32512,GOLD31  ,False,False,False,452.0,167.64,220.98,1626098879.795,1626098879.982,-59.67550400000001,8.231103999999995
1626098880,49328a,51.38552390922934,-0.62744140625,230.1382354278445,152.0028526387574,0.0,NJE340B ,False,False,False,6321.0,12496.8,12786.36,1626098879.63,1626098879.996,108.03323999999984,-203.20538000000005
1626098890,400e4a,51.87309265136719,0.2168315165751689,73.88855856251726,43.02506598911803,-3.2512000000000003,EXS95EU ,False,False,False,5573.0,167.64,190.5,1626098737.56,1626098739.525,50.41551200000001,54.01661999999999
1626098890,a95881,53.467620849609375,-1.267194475446388,252.1615368691573,108.80459388476902,0.0,CKS203  ,False,False,False,6250.0,12496.8,12786.36,1626098889.921,1626098889.998,238.70201600000004,-81.28215199999995
1626098890,43c925,51.04308564784163,-1.9564056396484373,135.34864236036475,238.3639640013724,5.52704,TOPSTAR1,False,False,False,2601.0,2293.62,2354.58,1626098889.877,1626098889.993,-115.235456,-70.99327200000002
1626098890,407933,50.44116521285752,-4.858258221600522,62.770600941657136,270.9391909457356,-0.32512,HLE01   ,False,False,False,,297.18,358.14,1626098889.98,1626098889.98,-62.762168,1.028888000000066
1626098890,4078b8,50.57695809057204,-0.2192069388724462,200.19804896398213,164.4995323772186,4.22656,BAW81   ,False,False,False,2026.0,6507.4800000000005,6637.02,1626098889.456,1626098889.946,53.50217599999996,-192.91650000000004
1626098890,49328a,51.36722887976695,-0.6119537353515625,230.59260099900987,152.0628571734614,0.0,NJE340B ,False,False,False,6321.0,12496.8,12786.36,1626098889.578,1626098890.0,108.03323999999996,-203.719824
1626098890,407b02,53.82402323060116,-3.443729176240822,60.68258961018642,277.30575953331083,0.0,GOLD31  ,False,False,False,452.0,167.64,220.98,1626098889.468,1626098889.817,-60.18994800000001,7.716660000000005
1626098890,4d024c,51.29942321777344,0.2427384660050675,214.3571539990964,321.0395419891635,-8.77824,FYL51F  ,False,False,False,4060.0,9631.68,9753.6,1626098889.657,1626098889.998,-134.7843280000001,166.67985599999994
1626098890,407a20,51.61619567871094,-0.9831279032939052,76.34078560117034,230.1944289077348,8.128,HLY95   ,False,False,False,7632.0,2514.6,2567.94,1626098889.88,1626098889.998,-58.64661600000001,-48.87217999999999
1626098890,406f12,52.69866943359375,-0.42388916015625,48.636048351172285,349.6409475119163,1.95072,GLINZ   ,False,False,False,36.0,213.36,236.22000000000003,1626098889.504,1626098889.965,-8.745547999999976,47.843292000000005
1626098890,4ca875,52.06532623808263,-4.585457938058028,223.5322818599272,282.6289250452453,0.32512,EIWFI   ,False,False,False,5451.0,8534.4,8702.039999999999,1626098889.794,1626098889.993,-218.12425600000003,48.87217999999987
1626098890,4009cc,50.541671494306144,-4.092184530722136,187.4864320473445,2.831001677865268,1.30048,AMBER2  ,False,False,False,1772.0,7901.94,8054.34,1626098889.98,1626098889.98,9.259992000000034,187.257616
1626098890,4a0664,51.39106362552966,0.24139404296875,181.01412295196715,98.49855887949369,13.32992,ROT392W ,False,False,False,4705.0,4434.84,4518.66,1626098889.776,1626098889.997,179.02651199999997,-26.75108800000002
1626098890,406d78,53.8040771484375,-1.9032244001115828,253.53374503172148,330.99056402677536,4.8768,BAW49   ,False,False,False,7622.0,10317.48,10500.36,1626098889.765,1626098889.997,-122.95211600000007,221.725364
1626098890,43ec83,50.47398454051906,-1.7955965609164082,122.00243099162785,202.5641116933252,0.0,SLS2    ,False,False,False,5402.0,8221.98,8366.76,1626098889.731,1626098889.925,-46.814403999999946,-112.66323600000004
1626098890,43c5e1,53.95820617675781,-3.820887974330333,200.187473051934,154.42270922256182,0.0,ASCOT463,False,False,False,6451.0,7322.820000000001,7482.840000000001,1626098889.931,1626098889.991,86.42659200000001,-180.569844
1626098890,40653d,51.656364828853285,-0.1245880126953125,196.72556497935057,330.5524668192008,7.477760000000001,EZY971B ,False,False,False,7642.0,6187.4400000000005,6301.740000000001,1626098889.921,1626098889.998,-96.71547199999988,171.30985200000003
1626098890,406266,51.46751403808594,-0.6504203177786962,182.7840599033673,321.74314443074195,-10.07872,LNX57AX ,False,False,False,5732.0,3886.2,3954.78,1626098889.921,1626098889.993,-113.17768000000002,143.52987599999994
1626098890,43c8d8,53.02835238181938,-0.5106288364955276,48.81799796560363,82.12606186827438,-2.92608,CWL48   ,False,False,False,7010.0,114.3,144.78,1626098673.53,1626098677.149,48.357736,6.68777199999999
1626098890,407836,50.683685302734375,-3.4186038455447374,207.34390837446253,4.126129963615875,0.0,EZY87MT ,False,False,False,1141.0,11582.4,11818.62,1626098889.996,1626098889.996,14.918876000000031,206.806488
1626098890,4009d1,54.449545650158896,-1.071083762428998,130.1634818681048,269.32063524453474,-7.80288,MONICA22,False,False,False,7052.0,1592.5800000000002,1638.3000000000002,1626098889.848,1626098889.952,-130.154332,-1.5433319999999668
1626098890,45a1f7,53.44862598483845,-0.5231430951286598,62.84223525597567,245.32313682966296,0.0,UNC60   ,False,False,False,4261.0,236.22,266.7,1626098889.826,1626098889.826,-57.103284,-26.236644
1626098890,4ca259,53.11438091730667,0.9679278205422794,231.6443707824808,106.38235951197524,0.0,RYR60VP ,False,False,False,5211.0,11887.2,12146.28,1626098889.497,1626098889.998,222.23980800000004,-65.33438799999999
1626098890,4ca815,53.10772394729872,0.3637605554917279,231.49579873430977,108.39468475399626,0.0,RYR9ZD  ,False,False,False,4617.0,11277.6,11490.96,1626098889.609,1626098889.992,219.667588,-73.05104800000002
1626098890,406ecc,51.554694741459215,-1.3632965087890625,204.6329940284401,284.56027561935684,9.42848,VIR513  ,False,False,False,1421.0,5227.320000000001,5349.240000000001,1626098889.832,1626098889.985,-198.06094,51.444399999999895
1626098890,3c4591,51.2585294044624,1.337432861328125,257.65222982653734,103.98075120487768,0.0,BOX413  ,False,False,False,1174.0,10668.0,10873.74,1626098889.759,1626098889.99,250.019784,-62.24772400000005
1626098890,452057,51.56153792041843,-2.625579833984375,242.0758319337947,104.7745502750466,0.0,VAW902  ,False,False,False,5256.0,10668.0,10850.88,1626098889.955,1626098889.994,234.07202,-61.73328000000006
1626098890,407a19,53.52026987884004,-3.0307724896599098,136.47027081954002,84.37537195855408,-9.7536,GMDSI   ,False,False,False,5226.0,3200.4,3284.2200000000003,1626098889.951,1626098889.999,135.813216,13.375544000000025
1626098890,400d91,53.65657483117055,-2.416749842026661,228.770302638982,154.99089021693607,-0.32512,EZY91QH ,False,False,False,6357.0,11879.58,12123.42,1626098889.612,1626098889.992,96.71547199999996,-207.32093200000008
1626098890,406ae8,51.783050537109375,-3.295527277766041,234.10141495427888,3.9062036212321978,0.0,TOM6K   ,False,False,False,5411.0,12192.0,12473.94,1626098889.998,1626098889.998,15.947764000000012,233.557576
1626098890,4aca45,51.13395561606197,-1.0284423828125,230.27331754610424,228.2601606378749,0.0,NAX3WE  ,False,False,False,1142.0,11277.6,11483.34,1626098889.94,1626098890.0,-171.82429600000003,-153.30431199999995
1626098890,40621b,50.60362243652344,-3.227523000616827,247.2298188113152,79.81245349291513,-10.72896,BAW246  ,False,False,False,2376.0,10439.4,10622.28,1626098889.964,1626098889.999,243.332012,43.72774000000001
1626098890,4079f8,51.34371999966896,1.29119873046875,62.25622662591044,79.5257651717742,-0.32512,AAAAA   ,False,False,False,7000.0,205.74,213.36,1626098889.811,1626098889.993,61.218836,11.317767999999992
1626098890,484f72,53.87253066240731,-3.022128834443947,241.9462455450251,280.7842978675626,0.0,KLM671  ,False,False,False,2105.0,10972.8,11178.54,1626098889.669,1626098889.994,-237.673128,45.27107200000003
1626098890,403321,51.48683166503906,-0.7635498046875,49.45623922696622,198.81188930251915,0.0,GBSYY   ,False,False,False,,320.04,342.90000000000003,1626098772.139,1626098772.139,-15.94776399999999,-46.814404
1626098890,40216d,51.65184926178495,-2.08831787109375,41.09438436717134,304.286876977209,-2.27584,GCLEA   ,False,False,False,,396.24,464.82,1626098887.957,1626098887.957,-33.953304,23.149979999999992
1626098890,406de5,50.678907491393005,-1.073455810546875,62.35604563525587,217.6262336386698,1.6256000000000002,CG175   ,False,False,False,7000.0,243.84,281.94,1626098889.634,1626098889.634,-38.06885600000001,-49.386624
